benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS_FULL,true,true,8,SAFE,5294,14,5,7,75.57936507936509,0.8305424733996164,7,0,245,245,184,20,13,0,33,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS_FULL,true,true,16,SAFE,8511,22,5,7,150.82389081506727,0.6529172762557025,7,0,749,749,580,20,21,0,125,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS_FULL_STALE_FIRST,true,true,8,SAFE,5274,14,5,6,74.72222222222223,0.8211233211233212,7,0,241,241,179,20,13,0,33,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS_FULL_STALE_FIRST,true,true,16,SAFE,8519,22,4,7,150.82389081506727,0.6529172762557025,7,0,737,737,569,19,21,0,125,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,true,8,SAFE,5158,11,2,4,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,true,16,SAFE,7754,19,2,4,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,true,8,SAFE,5164,11,2,4,39.57936507936508,0.7196248196248197,4,0,162,162,128,3,10,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,true,16,SAFE,8001,19,2,4,90.82389081506727,0.5311338644155981,4,0,594,594,468,3,18,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS_STALE_FIRST,true,true,8,SAFE,5142,11,2,4,39.57936507936508,0.7196248196248197,4,0,162,162,128,3,10,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS_STALE_FIRST,true,true,16,SAFE,7568,19,2,4,90.82389081506727,0.5311338644155981,4,0,594,594,468,3,18,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS_FULL,true,true,8,SAFE,5125,11,2,4,39.57936507936508,0.7196248196248197,4,0,180,180,128,3,10,0,30,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS_FULL,true,true,16,SAFE,7574,19,2,4,90.82389081506727,0.5311338644155981,4,0,628,628,468,3,18,0,122,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS_FULL_STALE_FIRST,true,true,8,SAFE,5138,11,2,4,39.57936507936508,0.7196248196248197,4,0,180,180,128,3,10,0,30,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS_FULL_STALE_FIRST,true,true,16,SAFE,7779,19,2,4,90.82389081506727,0.5311338644155981,4,0,628,628,468,3,18,0,122,1
