benchmark,mode,stale_tracking,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,PAPER,true,2,SAFE,50422,3,0,2,2.5,0.8333333333333334,2,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,PAPER,true,4,SAFE,39331,5,0,2,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,PAPER,true,8,SAFE,41056,9,0,2,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,PAPER,true,16,SAFE,44536,17,0,2,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS,true,2,SAFE,50459,3,0,2,2.5,0.8333333333333334,2,0,10,10,5,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS,true,4,SAFE,39271,5,0,2,6.416666666666667,0.6416666666666667,2,0,36,36,25,0,4
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS,true,8,SAFE,40971,9,0,2,16.460714285714285,0.4572420634920635,2,0,150,150,121,0,8
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS,true,16,SAFE,45947,17,0,2,41.47239288489287,0.3049440653300946,2,0,618,618,505,0,16
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,PAPER,true,2,SAFE,46564,3,0,2,2.5,0.8333333333333334,2,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,PAPER,true,4,SAFE,51472,5,0,2,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,PAPER,true,8,SAFE,53125,9,0,2,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,PAPER,true,16,SAFE,56681,17,0,2,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS,true,2,SAFE,50505,3,0,2,2.5,0.8333333333333334,2,0,10,10,5,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS,true,4,SAFE,51392,5,0,2,6.416666666666667,0.6416666666666667,2,0,36,36,25,0,4
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS,true,8,SAFE,53088,9,0,2,16.460714285714285,0.4572420634920635,2,0,150,150,121,0,8
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS,true,16,SAFE,56832,17,0,2,41.47239288489287,0.3049440653300946,2,0,618,618,505,0,16
