benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS,true,true,8,SAFE,5305,14,5,7,75.57936507936509,0.8305424733996164,7,0,223,223,184,20,13,0,0,1,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS,true,true,16,SAFE,8909,22,5,7,150.82389081506727,0.6529172762557025,7,0,700,700,569,19,21,0,0,1,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,BATCH_LCPS,true,true,4,SAFE,4295,10,4,0,42.4,0.9422222222222222,8,1,0,0,0,0,0,0,0,0,8,10,36,9,1,4.5,1.125,6
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,BATCH_LCPS,true,true,8,SAFE,5955,14,4,0,75.57936507936509,0.8305424733996164,8,1,0,0,0,0,0,0,0,0,8,14,52,13,1,6.5,1.625,7
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,BATCH_LCPS,true,true,16,SAFE,9413,22,8,0,150.82389081506727,0.6529172762557025,12,5,0,0,0,0,0,0,0,0,12,36,56,21,5,4.666666666666667,1.75,7
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,true,4,SAFE,122581,13,7,5,75.4,0.9666666666666668,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,true,8,SAFE,5083,11,2,4,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,true,16,SAFE,7615,19,2,4,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,true,4,SAFE,122682,13,7,5,75.4,0.9666666666666668,10,0,58,58,45,8,7,0,0,1,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,true,8,SAFE,5158,11,2,4,39.57936507936508,0.7196248196248197,4,0,162,162,128,3,10,0,0,1,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,true,16,SAFE,7599,19,2,4,90.82389081506727,0.5311338644155981,4,0,594,594,468,3,18,0,0,1,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,BATCH_LCPS,true,true,4,SAFE,3060,6,1,0,12.4,0.8266666666666667,3,0,0,0,0,0,0,0,0,0,3,5,20,5,0,6.666666666666667,1.6666666666666667,3
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,BATCH_LCPS,true,true,8,SAFE,4815,10,1,0,29.579365079365083,0.6573192239858907,3,0,0,0,0,0,0,0,0,0,3,9,36,9,0,12.0,3.0,3
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,BATCH_LCPS,true,true,16,SAFE,7228,18,1,0,72.82389081506727,0.475973142582139,3,0,0,0,0,0,0,0,0,0,3,17,40,17,0,13.333333333333334,5.666666666666667,3
