benchmark,mode,adaptive_trigger_mode,repeat_index,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions,batch_lcps_candidate_generation_time_ms,batch_lcps_selection_time_ms,adaptive_batch_trigger_mode,adaptive_batch_invocations,adaptive_batch_fallbacks,adaptive_triggered_by_duplicate,adaptive_triggered_by_stale,adaptive_triggered_by_search_failed,adaptive_triggered_by_idle_slot,adaptive_min_available_slots
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_NEVER,NEVER_BATCH,0,true,true,8,SAFE,4847,19,7,3,149.1035298035298,0.8719504666873088,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,5,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_NEVER,NEVER_BATCH,0,true,true,16,SAFE,7850,37,19,5,616.4469172983881,0.9255959719195017,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,7,0,0,0,0,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,n/a,0,true,true,4,SAFE,4057,14,3,7,88.28333333333333,0.9701465201465201,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,n/a,0,true,true,8,SAFE,5754,21,11,10,209.9718253968254,0.9998658352229781,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,n/a,0,true,true,16,SAFE,8922,35,15,10,538.4946886446888,0.9050330901591409,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,n/a,0,true,true,4,SAFE,5538,19,11,0,167.59285714285716,0.9800751879699249,16,0,0,0,0,0,0,0,0,0,14,18,72,18,0,5.142857142857143,1.2857142857142858,10,26,1,NEVER_BATCH,0,0,0,0,0,0,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,n/a,0,true,true,8,SAFE,6620,26,12,0,306.80782828282827,0.944024087024087,19,0,0,0,0,0,0,0,0,0,11,25,100,25,0,9.090909090909092,2.272727272727273,11,53,4,NEVER_BATCH,0,0,0,0,0,0,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,n/a,0,true,true,16,SAFE,9764,34,13,0,509.4871212121211,0.9081766866526223,20,0,0,0,0,0,0,0,0,0,9,33,104,33,0,11.555555555555555,3.6666666666666665,9,82,6,NEVER_BATCH,0,0,0,0,0,0,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_DUPLICATE,DUPLICATE_ONLY,0,true,true,4,SAFE,3851,12,3,7,63.83333333333333,0.9671717171717171,9,0,0,0,0,0,0,0,0,0,1,2,8,2,0,8.0,2.0,1,2,1,DUPLICATE_ONLY,1,7,1,0,0,0,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_DUPLICATE,DUPLICATE_ONLY,0,true,true,8,SAFE,7489,28,16,14,382.49743867243865,1.0118979859059223,22,0,0,0,0,0,0,0,0,0,1,6,24,6,0,24.0,6.0,1,13,3,DUPLICATE_ONLY,1,15,1,0,0,0,2
