benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,true,8,SAFE,5090,11,2,4,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,true,16,SAFE,7694,19,2,4,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,true,4,SAFE,122717,13,7,5,75.4,0.9666666666666668,10,0,58,58,44,8,7,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,true,8,SAFE,5133,11,2,4,39.57936507936508,0.7196248196248197,4,0,162,162,128,3,10,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,true,16,SAFE,7560,19,2,4,90.82389081506727,0.5311338644155981,4,0,594,594,468,3,18,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS_FULL,true,true,4,SAFE,122198,13,7,5,75.4,0.9666666666666668,10,0,71,71,45,8,7,0,9,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS_FULL,true,true,8,SAFE,5132,11,2,4,39.57936507936508,0.7196248196248197,4,0,180,180,128,3,10,0,30,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS_FULL,true,true,16,SAFE,7560,19,2,4,90.82389081506727,0.5311338644155981,4,0,628,628,468,3,18,0,122,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,PAPER,true,true,4,SAFE,3454,7,1,3,18.4,0.8761904761904761,4,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,PAPER,true,true,8,SAFE,5169,11,1,4,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,PAPER,true,true,16,SAFE,8569,19,1,4,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,LCPS,true,true,4,SAFE,3489,7,1,3,18.4,0.8761904761904761,4,0,40,40,29,0,5,0,0,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,LCPS,true,true,8,SAFE,5183,11,1,4,39.57936507936508,0.7196248196248197,4,0,168,168,134,0,10,0,0,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,LCPS,true,true,16,SAFE,8557,19,1,4,90.82389081506727,0.5311338644155981,4,0,600,600,473,0,18,0,0,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,LCPS_FULL,true,true,4,SAFE,3516,7,1,3,18.4,0.8761904761904761,4,0,49,49,29,0,5,0,7,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,LCPS_FULL,true,true,8,SAFE,5189,11,1,4,39.57936507936508,0.7196248196248197,4,0,186,186,134,0,10,0,30,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,LCPS_FULL,true,true,16,SAFE,8594,19,1,4,90.82389081506727,0.5311338644155981,4,0,634,634,474,0,18,0,122,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,PAPER,true,true,4,SAFE,39186,5,0,2,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,PAPER,true,true,8,SAFE,40881,9,0,2,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,PAPER,true,true,16,SAFE,56272,17,0,2,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0,0,0,0
