benchmark,mode,adaptive_trigger_mode,repeat_index,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions,batch_lcps_candidate_generation_time_ms,batch_lcps_selection_time_ms,adaptive_batch_trigger_mode,adaptive_batch_invocations,adaptive_batch_fallbacks,adaptive_triggered_by_duplicate,adaptive_triggered_by_stale,adaptive_triggered_by_search_failed,adaptive_triggered_by_idle_slot,adaptive_triggered_by_first_fill,adaptive_triggered_by_first_fill_or_stale,adaptive_triggered_by_threads_ge_4_first_fill,first_dispatch_in_current_abstraction,adaptive_min_available_slots
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_NEVER,NEVER_BATCH,0,true,true,16,SAFE,7835,39,21,5,660.490525895673,0.891350237376077,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,7,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,n/a,0,true,true,4,SAFE,4053,14,4,8,88.68333333333334,0.9745421245421246,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,n/a,0,true,true,8,SAFE,7073,25,13,10,284.6384920634921,0.9487949735449737,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,n/a,0,true,true,16,SAFE,8515,33,14,10,503.3478354978356,0.9533102945034765,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,n/a,0,true,true,4,SAFE,4969,16,8,0,123.59285714285716,1.0299404761904762,14,0,0,0,0,0,0,0,0,0,11,16,64,16,0,5.818181818181818,1.4545454545454546,8,27,1,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,n/a,0,true,true,8,SAFE,7038,26,12,0,307.0805555555555,0.9448632478632477,19,0,0,0,0,0,0,0,0,0,12,25,100,25,0,8.333333333333334,2.0833333333333335,11,48,2,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,n/a,0,true,true,16,SAFE,9558,34,16,0,540.9416666666666,0.964245395127748,22,0,0,0,0,0,0,0,0,0,11,34,108,34,0,9.818181818181818,3.090909090909091,11,90,7,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_STALE,STALE_ONLY,0,true,true,4,SAFE,3855,12,4,7,63.83333333333333,0.9671717171717171,9,0,0,0,0,0,0,0,0,0,1,2,8,2,0,8.0,2.0,1,2,1,STALE_ONLY,1,7,0,1,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_STALE,STALE_ONLY,0,true,true,8,SAFE,6207,23,12,8,253.9418831168831,1.0037228581694984,17,0,0,0,0,0,0,0,0,0,2,8,32,8,0,16.0,4.0,2,14,3,STALE_ONLY,2,9,0,2,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_STALE,STALE_ONLY,0,true,true,16,SAFE,8514,32,12,8,440.9573593073592,0.8890269340874177,17,0,0,0,0,0,0,0,0,0,1,9,32,9,0,32.0,9.0,1,17,7,STALE_ONLY,1,8,0,1,0,0,0,0,0,true,2
